Título,Autores,Link,Resumo
Uma inteligência artificial na educação para além do modelo behaviorista,"L Teles, E Nagumo - Revista Ponto De Vista, 2023 - periodicos.ufv.br",https://periodicos.ufv.br/RPV/article/view/15452,"… , cunhou o termo Inteligência Artificial, que definiu como a … simples: “a inteligência artificial 
busca fazer com que … sistemas digitais para emular a inteligência humana ou realizar tarefas …"
[PDF][PDF] Inteligência Artificial: mito e ciência,"LM Pereira - Revista Colóquio-Ciências, 1988 - researchgate.net",https://www.researchgate.net/profile/Luis-Pereira-25/publication/237130636_Inteligencia_Artificial_Mito_e_Ciencia/links/00463527ca46b52079000000/Inteligencia-Artificial-Mito-e-Ciencia.pdf,"Não pretende este artigo abordar questões técnicas, fornecer uma introdução à Inteligência 
Artificial (IA), nem expor o seu “estado da arte”. Tal só seria viável num ensaio …"
[LIVRO][B] Inteligencia artificial,"JC Ponce Gallegos, A Torres Soto… - 2014 - rephip.unr.edu.ar",https://rephip.unr.edu.ar/bitstream/handle/2133/17686/1520250496_Inteligencia-Artificial-CC-BY-SA-3.0-86.pdf?se,"Este libro es una introducción al area de la Inteligencia Artificial y presenta algunas de las 
aplicaciones que puede tener en la vida real en diversos campos de aplicación, El libro esta …"
[LIVRO][B] Inteligência Artificial: Aspectos Ético-Jurídicos,F Barcarollo - 2021 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=MGr6EAAAQBAJ&oi=fnd&pg=PT392&dq=intelig%C3%AAncia+artificial&ots=5D3bUWtdCy&sig=iuiB12Cpo0mMpwS9G7D-P4En21c,"O livro, Inteligência artificial: aspectos ético-jurídicos, traz um tema de fronteira e ainda pouco 
explorado na área do Direito. As possibilidades e os desafios dessa tecnologia, que se …"
[PDF][PDF] Inteligência artificial aplicada nos serviços públicos rumo ao desenvolvimento sustentável,CBR Maksym - International Journal of Digital Law - scholar.archive.org,https://scholar.archive.org/work/e5j4bdbadbbzncpxlyqxr6rj7a/access/wayback/https://journal.nuped.com.br/index.php/revista/article/download/maksym-2021/666/2157,"… Quanto ao uso da inteligência artificial nos serviços públicos, constatou-se que apesar 
da sua aplicação em certa escala, esta ocorre de forma setorizada, sem capacitação dos …"
A inteligência artificial na resolução de conflitos em linha,"FCP Andrade, DR Carneiro, P Novais - 2010 - repositorium.sdum.uminho.pt",https://repositorium.sdum.uminho.pt/handle/1822/19388,"… inteligência artificial na resolução de conflitos em linha Apesar de alguns domínios da 
Inteligência Artificial … com a área de interligação entre Inteligência Artificial e Direito(34). Apesar …"
[LIVRO][B] Fake news e inteligência artificial: o poder dos algoritmos na guerra da desinformação,M Prado - 2022 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=VnzxEAAAQBAJ&oi=fnd&pg=PA1997&dq=intelig%C3%AAncia+artificial&ots=cbs22G_0hV&sig=Eh3mnYinG7wCD_daGKTJoi6kXI8,"… O advento da inteligência artificial, ou AI, complexifica ainda … de que sistemas de inteligência 
artificial possam cumprir o … O advento da inteligência artificial, ou AI, complexifica ainda …"
[CITAÇÃO][C] Inteligencia artificial y propiedad intelectual,"JE Ricardo, MYL Vázquez, AJP Palacios, YEA Ojeda - Universidad y sociedad, 2021",Link não disponível,
Inteligência artificial na educação: uma revisão integrativa da literatura,"LA de Oliveira, AM dos Santos, RCG Martins… - Peer Review, 2023 - peerw.org",http://www.peerw.org/index.php/journals/article/view/1369,"… e desafios da utilização da inteligência artificial na educação? O … e desafios do uso da 
inteligência artificial na educação.Trata-… o impacto da inteligência artificial na forma de ensinar há …"
Marco Europeo para una inteligencia artificial basada en las personas: European framework for people-based artificial intelligence,"ÁAS Bravo - International Journal of Digital Law, 2020 - journal.nuped.com.br",https://journal.nuped.com.br/index.php/revista/article/view/sanchezbravov1n1,"… inteligencia y confiabilidad del sistema. Describe los requisitos esenciales para la configuración 
de una inteligencia artificial … , la regulación de la inteligencia artificial en el marco de la …"
Inteligência artificial: repensando a mediação,"D Kaufman - Brazilian Journal of Development, 2020 - ojs.brazilianjournals.com.br",https://ojs.brazilianjournals.com.br/ojs/index.php/BRJD/article/view/16481,"Cunhado em 1956 por John McCarthy, o termo “Inteligência Artificial”(IA) deu início a um 
campo de conhecimento associado com linguagem e inteligência, raciocínio, aprendizagem e …"
[PDF][PDF] A questão digital: o impacto da inteligência artificial no Direito,"AM da Rosa - Revista de Direito da Faculdade Guanambi, 2019 - redalyc.org",https://www.redalyc.org/journal/6080/608065718005/608065718005.pdf,"… O campo da inteligência artificial será referenciado no que se mostra … inteligência artificial 
nos seus mais diversos enfoques. O que se busca discutir é o impacto da inteligência artificial …"
[LIVRO][B] Inteligencia artificial y proceso judicial,JN Fenoll - 2018 - marcialpons.es,https://www.marcialpons.es/media/pdf/9788491235835.pdf,"… inteligencia artificial, sino sobre Derecho procesal y sobre las inevitables fronteras de la 
inteligencia artificial en … de aplicación procesal de la inteligencia artificial1. Los estudios que se …"
Ensino da Inteligência Artificial na Educação Básica: um novo horizonte para as pesquisas brasileiras,"MY Camada, GM Durães - Anais do XXXI Simpósio Brasileiro de …, 2020 - sol.sbc.org.br",https://sol.sbc.org.br/index.php/sbie/article/view/12911,"… Some works have been proposed over the last few years to presents the teaching of Artificial 
… propuseram o ensino de fundamentos da Inteligência Artificial (IA) na Educação Básica. …"
Técnicas y aplicaciones del Machine Learning e Inteligencia Artificial en educación: una revisión sistemática,"W Forero Corba… - … de educación a …, 2024 - redined.educacion.gob.es",https://redined.educacion.gob.es/xmlui/handle/11162/261358,"… campo de la inteligencia artificial que está … e inteligencia artificial en Educación. La falta 
de conocimientos y habilidades de los educadores en Machine Learning e inteligencia artificial …"
A responsabilidade civil pelos atos autônomos da inteligência artificial: notas iniciais sobre a resolução do Parlamento Europeu,"TCF Pires, RP da Silva - Revista …, 2017 - publicacoesacademicas.uniceub.br",https://www.publicacoesacademicas.uniceub.br/RBPP/article/view/4951,"O desenvolvimento da tecnologia da Inteligência Artificial (IA) está conferindo a computadores 
a capacidade de aprender e atuar de forma autônoma, ou seja, independente de uma …"
[PDF][PDF] Inteligência artificial em jogos eletrônicos,"A Kishimoto - Academic research about Artificial Intelligence for …, 2004 - academia.edu",https://www.academia.edu/download/30284526/andre_kishimoto.pdf,"… Pesquisa sobre o uso da inteligência artificial em jogos … e estado da arte da inteligência 
artificial aplicada aos jogos eletrônicos; … (e conseqüências) a inteligência artificial traz a eles. …"
[LIVRO][B] O futuro da inteligência artificial: de ameaça a recurso,"K Scott, G Shaw - 2023 - books.google.com",https://books.google.com/books?hl=pt-BR&lr=&id=6Jq-EAAAQBAJ&oi=fnd&pg=PT4&dq=intelig%C3%AAncia+artificial&ots=mbz5rkWVK7&sig=-jRcbN1o2zP5W_-PwkZwTFBI6Ck,"… de preocupações em relação ao futuro da inteligência artificial estão teorias sobre o que 
significam para nós, humanos, uma IA, ou uma inteligência artificial geral (IAG), poderosa. A …"
Machine learning: o uso da inteligência artificial na medicina,"AV Braga, AF Lins, LS Soares… - Brazilian Journal …, 2019 - ojs.brazilianjournals.com.br",https://ojs.brazilianjournals.com.br/ojs/index.php/BRJD/article/view/3437,"… o uso da inteligência artificial em diversos ramos da medicina e demonstrar que o Machine 
learning (ML- aprendizado de máquina, área da inteligência artificial), fornece um caminho …"
"O sistema tecnológico digital: inteligência artificial, computação em nuvem e Big Data","VJ Silva, MBM Bonacelli, CA Pacheco - Revista Brasileira de …, 2020 - SciELO Brasil",https://www.scielo.br/j/rbi/a/bySdpVGyHNkGvYBr5qVgpmh/,"… As organizações desejosas de utilizar soluções de inteligência artificial não precisam investir 
capital em sistemas próprios dedicados e inflexíveis. Elas podem consumir estes serviços …"
[PDF][PDF] La Inteligencia Artificial,"M Delgado, INGH SANTANA - Realidad de un …, 1996 - dayuia6toinfor.wordpress.com",https://dayuia6toinfor.wordpress.com/wp-content/uploads/2014/12/resumen-tema-7-introduccic3b3n-a-las-redes-de-neuronas-artificiales.pdf,"Desde los inicios, hasta la actualidad, el hombre se ha caracterizado por poseer gran 
curiosidad en querer conocer el porqué de las cosas, de los animales, de las plantas, de todo lo …"
Inteligência artificial e educação: como a IA está mudando a maneira como aprendemos e ensinamos,"FF Picão, LF Gomes, L Alves… - Revista Amor …, 2023 - journal.editorametrics.com.br",https://journal.editorametrics.com.br/index.php/amormundi/article/view/254,"… Resumo: Durante a pesquisa bibliográfica realizada sobre a inserção da Inteligência 
Artificial (IA) nos cursos à distância e na educação de modo geral, pudemos observar suas …"
Inteligência artificial na tomada de decisões judiciais: três premissas básicas,"A Roque, LBR dos Santos - Revista Eletrônica de Direito …, 2021 - e-publicacoes.uerj.br",https://www.e-publicacoes.uerj.br/redp/article/view/53537,"… pode virar as costas para os benefícios da inteligência artificial, porém é preciso que sejam 
… prévia ao jurisdicionado sobre a adoção da inteligência artificial na tomada de decisões, o …"
La llegada de la inteligencia artificial a la educación,"RDM Padilla - Revista de Investigación en Tecnologías de la …, 2019 - dialnet.unirioja.es",https://dialnet.unirioja.es/servlet/articulo?codigo=7242777,"… Resumen: Cada día se hace cada vez más evidente el uso de la inteligencia artificial en … 
realizar una verdadera implementación de la inteligencia artificial en la educación, aun así no …"
[HTML][HTML] Problemas bioéticos emergentes de la inteligencia artificial,"JA Villalba Gómez - Diversitas: perspectivas en psicología, 2016 - scielo.org.co",http://www.scielo.org.co/scielo.php?pid=S1794-99982016000100011&script=sci_arttext,"… inteligencia artificial, identificando los elementos técnico-filosóficos tales como: transhumanismo, 
inteligencia artificial … entre transhumanismo (H+) e inteligencia artificial (IA), su génesis…"
Inteligencia artificial para asistir el diagnóstico clínico en medicina,"SO Lugo-Reyes, G Maldonado-Colín… - Revista Alergia …, 2014 - revistaalergia.mx",http://revistaalergia.mx/ojs/index.php/ram/article/view/33,"… De esto se ocupa el aprendizaje automático, rama de la inteligencia artificial que construye 
y estudia sistemas capaces de aprender a partir de un conjunto de datos de adiestramiento …"
[LIVRO][B] Inteligencia artificial: con aplicaciones a la ingeniería,P Ponce - 2010 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=9ENzEAAAQBAJ&oi=fnd&pg=PR1&dq=intelig%C3%AAncia+artificial&ots=3It3OnUg6j&sig=AFL1MRg8kiKwx20SvJ3q0B66l9k,"… y aplicar los conocimientos de inteligencia artificial en su área de acción correspondiente. … 
básicos de cada uno de los métodos de inteligencia artificial, los cuales se ejemplifican con …"
Professores serão substituídos pela inteligência artificial?,"R Baltar, CS Baltar - Authorea Preprints, 2023 - techrxiv.org",https://www.techrxiv.org/doi/full/10.22541/au.167528138.89188276,"… Até entao, parecia que a inteligência artificial (IA) nao seria … Queiramos ou nao, a inteligência 
artificial e o acesso a … novos recursos de inteligência artificial disponıveis ao público. Por …"
"Inteligência Artificial e Educação: conceitos, aplicações e implicações no fazer docente","L Giraffa, P Khols-Santos - Educação em Análise, 2023 - ojs.uel.br",https://ojs.uel.br/revistas/uel/index.php/educanalise/article/view/48127,"… Resumen: Acercar los campos de investigación de la Inteligencia Artificial y la Educación 
tiene … Este artículo busca posicionar el campo de la IAED (Inteligencia Artificial y Educación), …"
